50.97744,-175.65967
50.97726,-175.66731
50.97704,-175.67399
50.97680,-175.68068
50.97648,-175.69024
50.97429,-175.75524
50.95747,-176.13187
50.95727,-176.13872
50.95705,-176.14542
50.95691,-176.15134
50.95671,-176.15814
50.95642,-176.16685
50.95621,-176.17373
50.95594,-176.18155
50.95578,-176.18841
50.95560,-176.19516
50.95536,-176.20201
50.95516,-176.20895
50.95476,-176.22439
50.95456,-176.23111
50.95447,-176.23409
50.95415,-176.24946
50.95401,-176.25623
50.95389,-176.26403
50.95334,-176.28834
50.95324,-176.29699
50.95310,-176.30859
50.95300,-176.32011
50.95286,-176.32697
50.95272,-176.33360
50.95237,-176.34127
50.95203,-176.34811
50.95178,-176.35389
50.95148,-176.36057
50.95114,-176.36745
50.95079,-176.37508
50.95050,-176.38085
50.95015,-176.38857
50.94984,-176.39529
50.94947,-176.40202
50.94912,-176.40888
50.94876,-176.41552
50.94842,-176.42230
50.94807,-176.42916
50.94775,-176.43584
50.94745,-176.44175
50.94707,-176.44951
50.94675,-176.45621
50.94638,-176.46312
50.94603,-176.46898
50.94576,-176.47957
50.94564,-176.48539
50.94384,-176.55480
